State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
AK,Bethel Census Area,"1,896","4,281","2,196","1,205",19.8,44.7,22.9,12.6
AK,Bristol Bay Borough,48,227,243,132,7.4,34.9,37.4,20.3
AK,Denali Borough,20,454,409,707,1.3,28.6,25.7,44.5
AK,Dillingham Census Area,391,"1,112",874,499,13.6,38.7,30.4,17.4
AK,Fairbanks North Star Borough,"3,349","13,420","24,613","20,471",5.4,21.7,39.8,33.1
AK,Haines Borough,63,531,625,648,3.4,28.4,33.5,34.7
AK,Hoonah-Angoon Census Area,160,616,514,361,9.7,37.3,31.1,21.9
AK,Juneau City and Borough,893,"4,583","7,872","8,998",4,20.5,35.2,40.3
AK,Kenai Peninsula Borough,"2,977","12,452","14,884","9,647",7.4,31.2,37.2,24.1
AK,Ketchikan Gateway Borough,769,"2,888","3,562","2,295",8.1,30.4,37.4,24.1
AK,Kodiak Island Borough,"1,030","2,596","3,183","2,159",11.5,28.9,35.5,24.1
AK,Kusilvak Census Area,857,"2,048",826,192,21.8,52.2,21.1,4.9
AK,Kuskokwim Division,,,,,,,,
AK,Lake and Peninsula Borough,97,356,210,126,12.3,45.1,26.6,16
AK,Matanuska-Susitna Borough,"5,112","20,746","25,430","13,266",7.9,32.1,39.4,20.6
AK,Nome Census Area,821,"2,370","1,492",760,15.1,43.5,27.4,14
AK,North Slope Borough,756,"2,594","2,145",995,11.6,40,33.1,15.3
AK,Northwest Arctic Borough,789,"1,902",963,441,19.3,46.4,23.5,10.8
AK,Petersburg Census Area,228,652,722,577,10.5,29.9,33.1,26.5
AK,Prince of Wales-Hyder Census Area,446,"1,683","1,578",748,10,37.8,35.4,16.8
AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,,,
AK,Sitka City and Borough,399,"1,635","2,104","2,030",6.5,26.5,34.1,32.9
AK,Skagway Municipality,63,194,305,267,7.6,23.4,36.8,32.2
AK,Skagway-Yakutat-Angoon Census Area,,,,,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,,,,,
AK,Southeast Fairbanks Census Area,380,"1,482","1,738",873,8.5,33.1,38.9,19.5
AK,Upper Yukon Division,,,,,,,,
AK,Valdez-Cordova Census Area,265,"1,789","2,251","2,087",4.1,28,35.2,32.7
AK,Wrangell City and Borough,205,680,611,361,11,36.6,32.9,19.4
AK,Wrangell-Petersburg Census Area,,,,,,,,
AK,Yakutat City and Borough,39,195,152,94,8.1,40.6,31.7,19.6
AK,Yukon-Koyukuk Census Area,528,"1,437","1,056",429,15.3,41.7,30.6,12.4
AZ,Arizona,"609,649","1,091,339","1,530,530","1,284,657",13.5,24.2,33.9,28.4
AZ,Apache County,"9,370","14,425","14,951","5,020",21.4,33,34.2,11.5
AZ,Cochise County,"11,307","20,109","35,417","20,676",12.9,23,40.5,23.6
AZ,Coconino County,"8,356","17,246","26,598","28,622",10.3,21.3,32.9,35.4
AZ,Gila County,"5,807","10,608","14,876","7,341",15,27.5,38.5,19
AZ,Graham County,"3,305","7,320","9,428","3,297",14.2,31.3,40.4,14.1
AZ,Greenlee County,603,"2,161","2,363",707,10.3,37,40.5,12.1
AZ,La Paz County,"3,536","5,747","4,507","1,746",22.8,37,29,11.2
AZ,Maricopa County,"352,327","621,894","897,620","858,772",12.9,22.8,32.9,31.4
AZ,Mohave County,"23,576","54,726","56,652","18,976",15.3,35.6,36.8,12.3
AZ,Navajo County,"11,886","20,483","25,318","10,549",17.4,30,37.1,15.5
AZ,Pima County,"78,894","149,838","227,377","210,880",11.8,22.5,34.1,31.6
AZ,Pinal County,"40,931","82,525","101,595","51,313",14.8,29.9,36.8,18.6
AZ,Santa Cruz County,"7,111","7,625","7,746","6,395",24.6,26.4,26.8,22.1
AZ,Yavapai County,"16,458","43,494","66,114","42,068",9.8,25.9,39.3,25
AZ,Yuma County,"36,182","33,138","39,968","18,295",28.4,26,31.3,14.3
AR,Arkansas,"286,117","681,486","580,739","437,428",14.4,34.3,29.2,22
AR,Arkansas County,"2,213","4,960","3,756","1,793",17.4,39,29.5,14.1
AR,Ashley County,"2,409","5,883","3,975","1,899",17,41.5,28.1,13.4
AR,Baxter County,"4,006","11,104","10,660","5,820",12.7,35.2,33.7,18.4
AR,Benton County,"20,402","48,563","42,708","51,732",12.5,29.7,26.1,31.7
AR,Boone County,"3,826","8,401","9,467","4,203",14.8,32.4,36.6,16.2
AR,Bradley County,"1,399","3,179","1,865","1,087",18.6,42.2,24.8,14.4
AR,Calhoun County,589,"1,774",899,457,15.8,47.7,24.2,12.3
AR,Carroll County,"2,793","7,020","5,954","3,782",14.3,35.9,30.5,19.3
AR,Chicot County,"1,525","3,148","2,022","1,016",19.8,40.8,26.2,13.2
AR,Clark County,"1,559","4,185","3,964","3,478",11.8,31.7,30.1,26.4
AR,Clay County,"2,289","4,412","2,829","1,137",21.5,41.4,26.5,10.7
AR,Cleburne County,"2,938","7,372","5,510","2,982",15.6,39.2,29.3,15.9
