State,Area name,"Less than a high school diploma, 2013-17","High school diploma only, 2013-17","Some college or associate's degree, 2013-17","Bachelor's degree or higher, 2013-17","Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
IN,Fountain County,"1,332","4,967","3,589","1,657",11.5,43,31.1,14.4
IN,Franklin County,"1,928","6,640","3,889","3,052",12.4,42.8,25.1,19.7
IN,Fulton County,"1,957","5,794","4,467","1,797",14,41.3,31.9,12.8
IN,Gibson County,"2,105","9,256","7,637","3,829",9.2,40.5,33.5,16.8
IN,Grant County,"5,791","18,171","12,969","7,615",13,40.8,29.1,17.1
IN,Greene County,"2,945","9,257","7,220","3,294",13,40.8,31.8,14.5
IN,Hamilton County,"7,573","30,322","47,034","114,874",3.8,15.2,23.5,57.5
IN,Hancock County,"3,041","16,056","15,503","14,908",6.1,32.4,31.3,30.1
IN,Harrison County,"2,972","11,710","8,375","4,582",10.8,42.4,30.3,16.6
IN,Hendricks County,"6,647","28,993","31,919","36,833",6.4,27.8,30.6,35.3
IN,Henry County,"3,900","15,039","9,822","5,694",11.3,43.6,28.5,16.5
IN,Howard County,"6,344","20,942","18,096","11,598",11.1,36.8,31.8,20.4
IN,Huntington County,"2,363","10,813","7,198","4,513",9.5,43.4,28.9,18.1
IN,Jackson County,"3,866","12,968","8,052","4,693",13.1,43.8,27.2,15.9
IN,Jasper County,"2,746","9,368","6,829","3,315",12.3,42.1,30.7,14.9
IN,Jay County,"2,381","6,637","3,403","1,450",17.2,47.8,24.5,10.5
IN,Jefferson County,"2,425","8,883","6,938","3,851",11,40.2,31.4,17.4
IN,Jennings County,"2,724","8,597","5,360","1,999",14.6,46,28.7,10.7
IN,Johnson County,"8,177","31,182","29,050","30,551",8.3,31.5,29.4,30.9
IN,Knox County,"2,923","8,758","9,103","3,975",11.8,35.4,36.8,16.1
IN,Kosciusko County,"7,918","18,374","14,167","11,582",15.2,35.3,27.2,22.3
IN,LaGrange County,"8,195","7,478","4,463","2,211",36.7,33.5,20,9.9
IN,Lake County,"39,003","113,733","103,794","69,969",11.9,34.8,31.8,21.4
IN,LaPorte County,"9,368","29,991","24,086","13,758",12.1,38.8,31.2,17.8
IN,Lawrence County,"3,517","13,489","9,876","5,148",11,42.1,30.8,16.1
IN,Madison County,"11,086","34,995","27,960","15,759",12.3,39,31.1,17.5
IN,Marion County,"88,424","172,295","172,013","183,024",14.4,28,27.9,29.7
IN,Marshall County,"4,602","12,219","7,916","6,094",14.9,39.6,25.7,19.8
IN,Martin County,"1,170","3,037","2,117",782,16.5,42.7,29.8,11
IN,Miami County,"3,649","10,235","7,851","3,137",14.7,41.2,31.6,12.6
IN,Monroe County,"6,632","17,854","19,894","37,498",8.1,21.8,24.3,45.8
IN,Montgomery County,"2,649","10,917","7,546","4,673",10.3,42.3,29.3,18.1
IN,Morgan County,"5,739","19,735","14,462","7,641",12.1,41.5,30.4,16.1
IN,Newton County,"1,370","4,492","2,916","1,081",13.9,45.6,29.6,11
IN,Noble County,"4,694","13,084","9,180","4,373",15,41.8,29.3,14
IN,Ohio County,514,"1,939","1,314",621,11.7,44.2,29.9,14.2
IN,Orange County,"2,246","6,135","3,490","1,590",16.7,45.6,25.9,11.8
IN,Owen County,"2,186","6,411","4,433","1,891",14.7,43,29.7,12.7
IN,Parke County,"1,752","5,144","3,638","1,517",14.5,42.7,30.2,12.6
IN,Perry County,"1,650","6,623","3,412","1,950",12.1,48.6,25,14.3
IN,Pike County,"1,229","3,749","2,665","1,152",14,42.6,30.3,13.1
IN,Porter County,"8,759","39,046","34,641","31,240",7.7,34.3,30.5,27.5
IN,Posey County,"1,133","6,713","6,294","3,689",6.4,37.7,35.3,20.7
IN,Pulaski County,"1,001","4,127","2,711","1,045",11.3,46.5,30.5,11.8
IN,Putnam County,"2,913","10,656","7,366","3,821",11.8,43,29.8,15.4
IN,Randolph County,"2,478","7,500","5,046","2,380",14.2,43.1,29,13.7
IN,Ripley County,"2,310","8,282","5,091","3,501",12,43.2,26.5,18.2
IN,Rush County,"1,758","5,299","2,772","1,710",15.2,45.9,24,14.8
IN,St. Joseph County,"21,142","53,575","50,114","49,624",12.1,30.7,28.7,28.4
IN,Scott County,"2,453","6,830","4,862","2,100",15.1,42,29.9,12.9
IN,Shelby County,"3,639","13,192","8,263","5,493",11.9,43.1,27,18
IN,Spencer County,"1,460","6,391","4,245","2,281",10.2,44.5,29.5,15.9
IN,Starke County,"2,668","6,326","5,002","1,792",16.9,40.1,31.7,11.4
IN,Steuben County,"2,519","8,837","7,413","4,782",10.7,37.5,31.5,20.3
IN,Sullivan County,"2,017","6,520","4,549","1,866",13.5,43.6,30.4,12.5
IN,Switzerland County,"1,247","3,483","1,806",623,17.4,48.7,25.2,8.7
IN,Tippecanoe County,"8,959","26,207","29,570","37,825",8.7,25.6,28.8,36.9
IN,Tipton County,"1,197","4,557","2,786","2,308",11,42,25.7,21.3
IN,Union County,578,"2,354","1,167",874,11.6,47.3,23.5,17.6
IN,Vanderburgh County,"12,980","40,260","37,746","32,271",10.5,32.7,30.6,26.2
IN,Vermillion County,"1,043","5,054","3,430","1,422",9.5,46.2,31.3,13
IN,Vigo County,"8,422","22,273","22,109","16,257",12.2,32.3,32,23.5
IN,Wabash County,"2,457","9,157","6,114","4,082",11.3,42,28,18.7
IN,Warren County,530,"2,591","1,612","1,137",9,44.1,27.5,19.4
IN,Warrick County,"2,943","13,419","13,353","12,272",7,32,31.8,29.2
IN,Washington County,"2,835","8,653","5,268","2,303",14.9,45.4,27.6,12.1
IN,Wayne County,"6,663","17,326","13,581","8,337",14.5,37.7,29.6,18.2
IN,Wells County,"1,619","7,291","6,316","3,475",8.7,39,33.8,18.6
IN,White County,"1,826","6,892","5,227","2,784",10.9,41.2,31.2,16.6
IN,Whitley County,"2,060","9,418","7,110","4,492",8.9,40.8,30.8,19.5
IA,Iowa,"168,645","651,750","675,094","572,425",8.2,31.5,32.6,27.7
IA,Adair County,309,"2,323","1,726",809,6,45,33.4,15.7
IA,Adams County,171,"1,076","1,017",475,6.2,39.3,37.1,17.3
IA,Allamakee County,"1,283","3,869","2,896","1,712",13.1,39.6,29.7,17.5
IA,Appanoose County,928,"3,248","3,144","1,628",10.4,36.3,35.1,18.2
IA,Audubon County,392,"1,709","1,478",568,9.5,41.2,35.6,13.7
IA,Benton County,"1,255","6,224","6,209","3,862",7.2,35.5,35.4,22
IA,Black Hawk County,"7,433","26,324","26,730","22,969",8.9,31.5,32,27.5
IA,Boone County,"1,140","6,176","6,550","4,438",6.2,33.7,35.8,24.2
IA,Bremer County,662,"5,350","5,529","4,722",4.1,32.9,34,29
IA,Buchanan County,984,"5,707","4,646","2,656",7,40.8,33.2,19
IA,Buena Vista County,"2,630","3,806","3,779","2,571",20.6,29.8,29.6,20.1
IA,Butler County,790,"4,138","3,745","1,764",7.6,39.6,35.9,16.9
IA,Calhoun County,492,"2,560","2,609","1,329",7,36.6,37.3,19
IA,Carroll County,"1,021","5,220","4,504","3,118",7.4,37.7,32.5,22.5
IA,Cass County,994,"3,830","2,734","1,847",10.6,40.7,29.1,19.6
IA,Cedar County,750,"4,664","4,632","2,896",5.8,36,35.8,22.4
IA,Cerro Gordo County,"2,006","9,696","12,224","6,811",6.5,31.5,39.8,22.2
IA,Cherokee County,770,"2,978","2,950","1,619",9.3,35.8,35.5,19.5
IA,Chickasaw County,766,"3,567","2,720","1,298",9.2,42.7,32.6,15.5
IA,Clarke County,596,"2,772","1,903","1,093",9.4,43.6,29.9,17.2
IA,Clay County,751,"4,032","4,191","2,483",6.6,35.2,36.6,21.7
IA,Clayton County,"1,105","5,580","3,941","1,982",8.8,44.3,31.3,15.7
IA,Clinton County,"2,717","12,263","11,607","6,311",8.3,37.3,35.3,19.2
IA,Crawford County,"2,368","4,102","3,222","1,451",21.3,36.8,28.9,13
IA,Dallas County,"2,436","9,754","14,619","25,829",4.6,18.5,27.8,49.1
IA,Davis County,820,"2,017","1,751",992,14.7,36.1,31.4,17.8
IA,Decatur County,685,"1,812","1,355","1,056",14,36.9,27.6,21.5
IA,Delaware County,"1,016","5,039","3,748","2,000",8.6,42.7,31.8,16.9
IA,Des Moines County,"2,202","9,034","10,968","5,485",8,32.6,39.6,19.8
IA,Dickinson County,552,"3,608","4,741","3,719",4.4,28.6,37.6,29.5
IA,Dubuque County,"4,960","21,308","18,612","19,255",7.7,33.2,29,30
IA,Emmet County,668,"2,163","2,341","1,340",10.3,33.2,35.9,20.6
IA,Fayette County,"1,256","5,363","4,514","2,754",9,38.6,32.5,19.8
IA,Floyd County,"1,114","3,684","3,935","2,313",10.1,33.4,35.6,20.9
IA,Franklin County,775,"2,647","2,620","1,161",10.8,36.7,36.4,16.1
IA,Fremont County,358,"1,781","1,796","1,036",7.2,35.8,36.1,20.8
IA,Greene County,490,"2,347","2,217","1,309",7.7,36.9,34.8,20.6
IA,Grundy County,409,"2,762","3,168","2,261",4.8,32.1,36.8,26.3
IA,Guthrie County,571,"2,928","2,436","1,586",7.6,38.9,32.4,21.1
IA,Hamilton County,792,"3,269","4,085","2,496",7.4,30.7,38.4,23.5
IA,Hancock County,516,"2,968","2,687","1,607",6.6,38.2,34.5,20.7
IA,Hardin County,986,"4,031","4,550","2,500",8.2,33.4,37.7,20.7
IA,Harrison County,791,"3,773","3,584","1,764",8,38.1,36.2,17.8
IA,Henry County,"1,080","5,010","4,803","2,707",7.9,36.8,35.3,19.9
IA,Howard County,663,"2,690","2,080",930,10.4,42.3,32.7,14.6
IA,Humboldt County,548,"2,490","2,305","1,349",8.2,37.2,34.4,20.2
IA,Ida County,313,"1,898","1,700",961,6.4,39,34.9,19.7
IA,Iowa County,843,"4,394","3,727","2,265",7.5,39.1,33.2,20.2
IA,Jackson County,"1,160","5,783","4,165","2,532",8.5,42.4,30.5,18.6
IA,Jasper County,"1,796","10,851","8,524","4,688",6.9,42,33,18.1
IA,Jefferson County,655,"3,576","4,153","4,207",5.2,28.4,33,33.4
IA,Johnson County,"4,144","13,842","22,042","44,526",4.9,16.4,26.1,52.7
IA,Jones County,"1,126","5,978","4,936","2,509",7.7,41.1,33.9,17.2
IA,Keokuk County,553,"3,004","2,315","1,301",7.7,41.9,32.3,18.1
IA,Kossuth County,545,"4,055","3,982","2,107",5.1,37.9,37.3,19.7
IA,Lee County,"1,873","9,876","8,884","3,834",7.7,40.4,36.3,15.7
IA,Linn County,"7,815","40,023","51,657","47,430",5.3,27.2,35.2,32.3
IA,Louisa County,"1,420","2,756","2,370","1,148",18.5,35.8,30.8,14.9
IA,Lucas County,436,"2,539","1,977","1,007",7.3,42.6,33.2,16.9
IA,Lyon County,718,"2,792","2,449","1,650",9.4,36.7,32.2,21.7
IA,Madison County,591,"3,826","3,721","2,496",5.6,36,35,23.5
IA,Mahaska County,"1,220","5,813","4,379","3,570",8.1,38.8,29.2,23.8
IA,Marion County,"1,471","7,766","6,748","5,634",6.8,35.9,31.2,26.1
IA,Marshall County,"3,997","8,908","8,629","5,233",14.9,33.3,32.2,19.6
IA,Mills County,760,"3,622","3,562","2,343",7.4,35.2,34.6,22.8
IA,Mitchell County,689,"3,027","2,304","1,244",9.5,41.7,31.7,17.1
IA,Monona County,577,"2,530","2,330","1,050",8.9,39,35.9,16.2
IA,Monroe County,527,"2,470","1,528",851,9.8,45.9,28.4,15.8
IA,Montgomery County,633,"2,785","2,577","1,148",8.9,39,36.1,16.1
IA,Muscatine County,"3,685","9,733","8,971","5,989",13,34.3,31.6,21.1
IA,O'Brien County,731,"3,526","3,501","1,920",7.6,36.4,36.2,19.8
IA,Osceola County,540,"1,636","1,349",758,12.6,38.2,31.5,17.7
IA,Page County,"1,129","3,869","3,828","2,292",10.2,34.8,34.4,20.6
IA,Palo Alto County,349,"1,820","2,502","1,604",5.6,29,39.9,25.6
IA,Plymouth County,"1,240","5,729","6,282","3,465",7.4,34.3,37.6,20.7
IA,Pocahontas County,394,"1,966","1,834",784,7.9,39.5,36.8,15.7
IA,Polk County,"26,441","77,430","95,522","108,854",8.6,25.1,31,35.3
IA,Pottawattamie County,"6,499","21,354","21,691","13,297",10.3,34,34.5,21.2
IA,Poweshiek County,880,"4,628","3,757","2,719",7.3,38.6,31.4,22.7
IA,Ringgold County,281,"1,303","1,213",702,8,37.2,34.7,20.1
IA,Sac County,555,"2,643","2,447","1,390",7.9,37.6,34.8,19.8
IA,Scott County,"8,781","34,143","35,769","36,877",7.6,29.5,31,31.9
IA,Shelby County,739,"3,097","2,706","1,762",8.9,37.3,32.6,21.2
IA,Sioux County,"2,063","6,463","6,371","5,637",10,31.5,31,27.5
IA,Story County,"1,570","9,253","13,517","24,883",3.2,18.8,27.5,50.6
IA,Tama County,"1,039","4,731","4,023","1,934",8.9,40.3,34.3,16.5
IA,Taylor County,390,"1,749","1,595",623,9,40.1,36.6,14.3
IA,Union County,738,"3,071","3,339","1,368",8.7,36.1,39.2,16.1
IA,Van Buren County,630,"1,966","1,776",702,12.4,38.7,35,13.8
IA,Wapello County,"3,029","8,552","8,080","4,430",12.6,35.5,33.5,18.4
IA,Warren County,"1,366","9,841","10,899","9,647",4.3,31,34.3,30.4
IA,Washington County,"1,284","5,791","4,729","3,157",8.6,38.7,31.6,21.1
IA,Wayne County,469,"1,990","1,320",604,10.7,45.4,30.1,13.8
IA,Webster County,"2,133","8,212","9,308","5,048",8.6,33.2,37.7,20.4
IA,Winnebago County,614,"2,512","2,656","1,523",8.4,34.4,36.4,20.8
IA,Winneshiek County,708,"4,447","4,427","3,880",5.3,33,32.9,28.8
IA,Woodbury County,"9,247","21,429","19,912","14,611",14.2,32.9,30.5,22.4
IA,Worth County,403,"1,908","2,134",799,7.7,36.4,40.7,15.2
IA,Wright County,855,"3,152","3,376","1,571",9.5,35.2,37.7,17.5
KS,Kansas,"179,213","494,849","602,333","610,346",9.5,26.2,31.9,32.3
KS,Allen County,653,"2,873","3,440","1,659",7.6,33.3,39.9,19.2
KS,Anderson County,495,"2,068","1,800",998,9.2,38.6,33.6,18.6
KS,Atchison County,774,"3,996","3,256","2,101",7.6,39.5,32.2,20.7
KS,Barber County,252,"1,207","1,272",680,7.4,35.4,37.3,19.9
KS,Barton County,"2,267","5,960","6,940","3,086",12.4,32.7,38,16.9
KS,Bourbon County,918,"2,979","3,837","1,831",9.6,31.1,40.1,19.1
KS,Brown County,439,"2,583","2,152","1,390",6.7,39.4,32.8,21.2
KS,Butler County,"3,325","11,374","15,947","12,676",7.7,26.3,36.8,29.3
KS,Chase County,148,512,730,465,8,27.6,39.4,25.1
KS,Chautauqua County,308,923,845,414,12.4,37.1,33.9,16.6
KS,Cherokee County,"1,718","4,883","4,753","2,658",12.3,34.8,33.9,19
KS,Cheyenne County,141,583,681,488,7.4,30.8,36,25.8
KS,Clark County,94,386,478,475,6.6,26.9,33.4,33.1
KS,Clay County,445,"1,710","2,207","1,368",7.8,29.8,38.5,23.9
KS,Cloud County,539,"1,916","2,426","1,313",8.7,30.9,39.2,21.2
KS,Coffey County,435,"2,147","2,061","1,226",7.4,36.6,35.1,20.9
KS,Comanche County,92,404,505,227,7.5,32.9,41.1,18.5
KS,Cowley County,"2,323","7,322","8,885","4,723",10,31.5,38.2,20.3
KS,Crawford County,"2,259","6,574","7,780","6,756",9.7,28.1,33.3,28.9
KS,Decatur County,189,694,808,474,8.7,32.1,37.3,21.9
KS,Dickinson County,"1,290","4,540","4,606","2,746",9.8,34.4,34.9,20.8
KS,Doniphan County,506,"1,947","1,791",869,9.9,38.1,35,17
KS,Douglas County,"3,172","12,299","18,136","33,552",4.7,18.3,27,50
KS,Edwards County,361,557,757,387,17.5,27,36.7,18.8
KS,Elk County,195,751,682,305,10.1,38.9,35.3,15.8
KS,Ellis County,"1,167","4,184","5,743","6,127",6.8,24.3,33.3,35.6
KS,Ellsworth County,423,"1,541","1,711",937,9.2,33.4,37.1,20.3
KS,Finney County,"6,200","4,969","6,717","3,741",28.7,23,31.1,17.3
KS,Ford County,"5,957","5,075","5,648","3,739",29.2,24.9,27.7,18.3
KS,Franklin County,"1,360","6,329","5,841","3,452",8,37.3,34.4,20.3
KS,Geary County,"1,384","4,928","8,775","4,098",7.2,25.7,45.7,21.4
KS,Gove County,156,677,654,447,8.1,35,33.8,23.1
KS,Graham County,130,655,619,530,6.7,33.9,32,27.4
KS,Grant County,"1,257","1,403","1,206",747,27.2,30.4,26.1,16.2
KS,Gray County,884,849,"1,225",785,23.6,22.7,32.7,21
KS,Greeley County,95,289,195,252,11.4,34.8,23.5,30.3
KS,Greenwood County,457,"1,623","1,586",855,10.1,35.9,35.1,18.9
KS,Hamilton County,282,618,427,288,17.5,38.3,26.4,17.8
KS,Harper County,444,"1,574","1,272",699,11.1,39.5,31.9,17.5
KS,Harvey County,"2,016","5,994","7,967","6,833",8.8,26.3,34.9,30
KS,Haskell County,766,464,833,440,30.6,18.5,33.3,17.6
KS,Hodgeman County,99,344,568,327,7.4,25.7,42.5,24.4
KS,Jackson County,450,"3,630","3,077","1,775",5,40.6,34.4,19.9
KS,Jefferson County,979,"5,184","4,219","2,793",7.4,39.3,32,21.2
KS,Jewell County,115,960,788,353,5.2,43.3,35.6,15.9
KS,Johnson County,"16,797","56,131","103,223","212,083",4.3,14.5,26.6,54.6
KS,Kearny County,537,672,912,328,21.9,27.4,37.2,13.4
KS,Kingman County,366,"1,699","2,033","1,242",6.9,31.8,38.1,23.3
KS,Kiowa County,162,440,586,454,9.9,26.8,35.7,27.6
KS,Labette County,"1,790","4,504","5,241","2,469",12.8,32.2,37.4,17.6
KS,Lane County,76,361,448,278,6.5,31,38.5,23.9
KS,Leavenworth County,"4,495","15,312","17,231","16,619",8.4,28.5,32.1,31
KS,Lincoln County,127,728,911,440,5.8,33,41.3,19.9
KS,Linn County,727,"2,706","2,394",959,10.7,39.9,35.3,14.1
KS,Logan County,161,580,812,366,8.4,30.2,42.3,19.1
KS,Lyon County,"2,179","6,404","5,935","5,391",10.9,32.2,29.8,27.1
KS,McPherson County,"1,664","5,501","6,690","5,558",8.6,28.3,34.5,28.6
KS,Marion County,846,"2,741","2,752","1,990",10.2,32.9,33,23.9
KS,Marshall County,502,"2,914","2,219","1,286",7.3,42.1,32.1,18.6
KS,Meade County,492,819,874,570,17.9,29.7,31.7,20.7
KS,Miami County,"1,149","7,241","8,161","5,776",5.1,32.4,36.6,25.9
KS,Mitchell County,198,"1,368","1,641","1,019",4.7,32.4,38.8,24.1
KS,Montgomery County,"2,438","6,432","9,449","4,205",10.8,28.6,42,18.7
KS,Morris County,485,"1,492","1,377",743,11.8,36.4,33.6,18.1
KS,Morton County,266,681,662,243,14.4,36.8,35.7,13.1
KS,Nemaha County,502,"2,764","1,812","1,580",7.5,41.5,27.2,23.7
KS,Neosho County,877,"3,362","4,449","2,089",8.1,31.2,41.3,19.4
KS,Ness County,193,756,819,416,8.8,34.6,37.5,19
KS,Norton County,386,"1,466","1,482",638,9.7,36.9,37.3,16.1
KS,Osage County,"1,003","4,132","3,580","2,273",9.1,37.6,32.6,20.7
KS,Osborne County,212,970,872,588,8,36.7,33,22.3
KS,Ottawa County,212,"1,501","1,482",914,5.2,36.5,36.1,22.2
KS,Pawnee County,485,"1,536","2,098",919,9.6,30.5,41.6,18.2
KS,Phillips County,257,"1,367","1,334",811,6.8,36.3,35.4,21.5
KS,Pottawatomie County,779,"4,287","4,686","4,922",5.3,29.2,31.9,33.5
KS,Pratt County,515,"1,614","2,479","1,657",8.2,25.8,39.6,26.4
KS,Rawlins County,102,554,717,500,5.4,29.6,38.3,26.7
KS,Reno County,"5,312","12,514","16,755","8,656",12.3,28.9,38.8,20
KS,Republic County,174,"1,156","1,373",820,4.9,32.8,39,23.3
KS,Rice County,694,"1,862","2,367","1,431",10.9,29.3,37.3,22.5
KS,Riley County,"1,556","6,569","12,387","17,136",4.1,17.4,32.9,45.5
KS,Rooks County,316,"1,120","1,246",926,8.8,31,34.5,25.7
KS,Rush County,210,693,860,531,9.2,30.2,37.5,23.1
KS,Russell County,458,"1,607","1,828","1,241",8.9,31.3,35.6,24.2
KS,Saline County,"3,670","12,210","11,908","9,281",9.9,32.9,32.1,25
KS,Scott County,484,"1,000",938,880,14.7,30.3,28.4,26.7
KS,Sedgwick County,"35,679","86,253","105,699","100,690",10.9,26.3,32.2,30.7
KS,Seward County,"4,354","3,539","3,765","1,607",32.8,26.7,28.4,12.1
KS,Shawnee County,"10,094","37,036","36,518","36,483",8.4,30.8,30.4,30.4
KS,Sheridan County,119,566,679,444,6.6,31.3,37.6,24.6
KS,Sherman County,212,"1,438","1,674",740,5.2,35.4,41.2,18.2
KS,Smith County,187,980,"1,021",550,6.8,35.8,37.3,20.1
KS,Stafford County,339,813,"1,124",665,11.5,27.6,38.2,22.6
KS,Stanton County,303,357,399,309,22.1,26.1,29.2,22.6
KS,Stevens County,664,"1,083","1,232",576,18.7,30.5,34.7,16.2
KS,Sumner County,"1,242","5,405","5,731","3,263",7.9,34.6,36.6,20.9
KS,Thomas County,242,"1,524","1,929","1,335",4.8,30.3,38.3,26.5
KS,Trego County,145,651,830,495,6.8,30.7,39.1,23.3
KS,Wabaunsee County,319,"1,662","1,683","1,077",6.7,35.1,35.5,22.7
KS,Wallace County,92,329,379,287,8.5,30.3,34.9,26.4
KS,Washington County,316,"1,477","1,372",746,8.1,37.8,35.1,19.1
KS,Wichita County,228,440,496,297,15.6,30.1,33.9,20.3
KS,Wilson County,751,"2,222","2,221",956,12.2,36.1,36.1,15.5
KS,Woodson County,273,811,943,321,11.6,34.5,40.2,13.7
KS,Wyandotte County,"21,841","34,019","29,769","17,192",21.2,33.1,29,16.7
KY,Kentucky,"441,659","988,521","863,451","692,568",14.8,33.1,28.9,23.2
KY,Adair County,"2,966","4,823","3,040","2,032",23.1,37.5,23.6,15.8
KY,Allen County,"2,878","5,491","3,681","2,023",20.5,39,26.2,14.4
KY,Anderson County,"1,777","5,646","4,647","3,026",11.8,37.4,30.8,20
KY,Ballard County,839,"2,090","1,978",803,14.7,36.6,34.6,14.1
KY,Barren County,"5,262","11,960","7,513","4,796",17.8,40.5,25.4,16.2
KY,Bath County,"1,947","3,267","1,954",948,24,40.3,24.1,11.7
KY,Bell County,"6,345","6,945","4,264","1,801",32.8,35.9,22,9.3
KY,Boone County,"6,077","22,478","28,578","26,260",7.3,27,34.3,31.5
KY,Bourbon County,"2,155","5,089","4,030","2,638",15.5,36.6,29,19
KY,Boyd County,"3,862","11,734","12,277","6,698",11.2,33.9,35.5,19.4
KY,Boyle County,"2,610","7,036","5,573","4,545",13.2,35.6,28.2,23
KY,Bracken County,881,"2,491","1,492",790,15.6,44.1,26.4,14
KY,Breathitt County,"2,529","3,281","2,315","1,173",27.2,35.3,24.9,12.6
KY,Breckinridge County,"2,709","6,184","3,577","1,374",19.6,44.7,25.8,9.9
KY,Bullitt County,"6,856","22,347","17,382","7,536",12.7,41.3,32.1,13.9
KY,Butler County,"1,995","3,752","2,172","1,052",22.2,41.8,24.2,11.7
KY,Caldwell County,998,"4,171","2,351","1,485",11.1,46.3,26.1,16.5
KY,Calloway County,"2,756","7,468","6,673","6,831",11.6,31.5,28.1,28.8
KY,Campbell County,"5,955","19,592","17,052","19,998",9.5,31.3,27.2,31.9
KY,Carlisle County,567,"1,195","1,142",531,16.5,34.8,33.2,15.5
KY,Carroll County,"1,673","2,950","1,662",837,23.5,41.4,23.3,11.8
KY,Carter County,"3,934","7,383","4,726","2,604",21.1,39.6,25.3,14
KY,Casey County,"2,822","4,141","2,679","1,359",25.7,37.6,24.4,12.4
KY,Christian County,"5,945","13,687","14,659","6,923",14.4,33.2,35.6,16.8
KY,Clark County,"3,524","8,693","7,338","5,408",14.1,34.8,29.4,21.7
KY,Clay County,"5,456","4,888","2,993","1,402",37,33.2,20.3,9.5
KY,Clinton County,"2,019","2,823","1,570",717,28.3,39.6,22,10.1
KY,Crittenden County,"1,165","2,519","1,891",853,18.1,39.2,29.4,13.3
KY,Cumberland County,878,"1,768","1,471",625,18.5,37.3,31,13.2
KY,Daviess County,"7,305","23,650","21,403","14,445",10.9,35.4,32,21.6
KY,Edmonson County,"1,794","3,591","2,268",959,20.8,41.7,26.3,11.1
KY,Elliott County,"1,300","2,504","1,321",413,23.5,45.2,23.9,7.5
KY,Estill County,"2,456","4,779","1,991","1,015",24,46.7,19.4,9.9
KY,Fayette County,"19,345","41,711","57,518","85,285",9.5,20.5,28.2,41.8
KY,Fleming County,"2,228","3,625","2,679","1,316",22.6,36.8,27.2,13.4
KY,Floyd County,"6,557","9,187","7,132","3,293",25.1,35.1,27.3,12.6
KY,Franklin County,"4,421","10,673","9,874","9,914",12.7,30.6,28.3,28.4
KY,Fulton County,927,"1,494","1,331",656,21,33.9,30.2,14.9
KY,Gallatin County,"1,096","2,651","1,352",691,18.9,45.8,23.4,11.9
KY,Garrard County,"2,404","4,662","3,209","1,916",19.7,38.2,26.3,15.7
KY,Grant County,"2,761","7,120","4,054","1,973",17.4,44.8,25.5,12.4
KY,Graves County,"4,164","9,841","7,129","4,091",16.5,39,28.3,16.2
KY,Grayson County,"3,462","7,710","4,772","1,745",19.6,43.6,27,9.9
KY,Green County,"1,927","3,271","1,862",871,24.3,41.2,23.5,11
KY,Greenup County,"3,346","9,285","8,533","4,390",13.1,36.3,33.4,17.2
KY,Hancock County,805,"2,537","1,815",646,13.9,43.7,31.3,11.1
KY,Hardin County,"6,868","21,312","25,537","16,527",9.8,30.3,36.4,23.5
KY,Harlan County,"5,455","6,655","4,810","2,169",28.6,34.9,25.2,11.4
KY,Harrison County,"2,241","5,274","3,284","1,960",17.6,41.3,25.7,15.4
KY,Hart County,"3,140","4,997","2,787","1,570",25.1,40,22.3,12.6
KY,Henderson County,"4,363","11,398","10,771","5,360",13.7,35.7,33.8,16.8
KY,Henry County,"1,757","4,780","2,989","1,165",16.4,44.7,28,10.9
KY,Hickman County,741,"1,401",849,306,22.5,42.5,25.8,9.3
KY,Hopkins County,"4,604","12,957","9,357","5,013",14.4,40.6,29.3,15.7
KY,Jackson County,"2,355","4,049","1,805",964,25.7,44.1,19.7,10.5
KY,Jefferson County,"54,052","141,997","159,432","169,425",10.3,27.1,30.4,32.3
KY,Jessamine County,"4,551","9,834","9,059","10,043",13.6,29.4,27.1,30
KY,Johnson County,"3,269","5,567","4,820","2,427",20.3,34.6,30,15.1
KY,Kenton County,"11,568","32,281","34,169","32,886",10.4,29.1,30.8,29.7
KY,Knott County,"2,867","3,777","2,755","1,386",26.6,35,25.5,12.9
KY,Knox County,"6,743","7,859","4,347","2,097",32,37.3,20.7,10
KY,Larue County,"1,643","3,981","3,032","1,204",16.7,40.4,30.8,12.2
KY,Laurel County,"8,656","16,124","10,865","5,329",21.1,39.4,26.5,13
KY,Lawrence County,"2,554","4,562","2,572","1,270",23.3,41.6,23.5,11.6
KY,Lee County,"1,467","1,970","1,064",442,29.7,39.9,21.5,8.9
KY,Leslie County,"2,397","2,845","1,618",674,31.8,37.8,21.5,8.9
KY,Letcher County,"4,101","6,272","4,103","1,909",25,38.3,25,11.7
KY,Lewis County,"2,470","3,859","2,034","1,155",26,40.5,21.4,12.1
KY,Lincoln County,"3,593","7,219","4,216","1,815",21.3,42.9,25,10.8
KY,Livingston County,"1,139","3,140","1,863",601,16.9,46.6,27.6,8.9
KY,Logan County,"3,241","7,428","4,934","2,708",17.7,40.6,26.9,14.8
KY,Lyon County,902,"2,636","2,092",917,13.8,40.3,32,14
KY,McCracken County,"5,390","13,930","15,512","11,138",11.7,30.3,33.7,24.2
KY,McCreary County,"3,259","5,128","2,912",935,26.6,41.9,23.8,7.6
