,unemployment_rate,median_household_income,ave_housingprice,grading_score,Percentage of good days,crime rate
Solano County,0.12804878048780483,0.4579340401671934,0.1527346780449961,0.4865116279069768,0.6616950432514075,0.34203143514323564
Placer County,0.0670731707317073,0.5271944132939137,0.14807990690457715,0.764651162790698,0.5560723602910889,0.12980936781208618
San Luis Obispo County,0.0548780487804878,0.3904322560913447,0.2677463149728472,0.6511627906976751,0.34793354386928466,0.19502334982923258
Santa Cruz County,0.18292682926829268,0.466879906208584,0.4523855702094647,0.668837209302326,0.8729404091720446,0.4100508817174323
Merced County,0.40243902439024387,0.10245692731165257,0.03714119472459271,0.01209302325581385,0.4083405695636233,0.3286052833344951
Marin County,0.012195121951219495,0.9269420939953104,0.5765128006206363,1.0,0.8045963201977208,0.14253850979298816
Butte County,0.18292682926829268,0.1100774798654297,0.06856089992242048,0.5218604651162795,0.3758924893587807,0.4105736390883111
Yolo County,0.14024390243902435,0.31736160668773583,0.1506012412723041,0.6418604651162791,0.7269325827268983,0.2737157593922075
El Dorado County,0.10365853658536583,0.4902130696299317,0.1429402637703646,0.6734883720930238,0.6397861458190306,0.08177667805116051
Shasta County,0.18902439024390238,0.1428662452849424,0.053044996121024035,0.48279069767441873,0.7207194837292326,0.4501986478009341
Kings County,0.3780487804878048,0.19217045570394542,0.01910395655546937,0.07255813953488399,0.1988191679253055,0.20641946051439336
Madera County,0.32926829268292673,0.13746304414313393,0.024534522885958088,0.06511627906976747,0.34482699437045183,0.263678817871332
Napa County,0.06097560975609756,0.5592440615761036,0.33882854926299455,0.567441860465117,0.6170511959206523,0.1267686624381404
Humboldt County,0.09146341463414631,0.07807880517891741,0.10570209464701319,0.5693023255813952,0.8880635017872421,0.3994301944657419
Nevada County,0.08536585365853655,0.31737435008665515,0.14070985259891386,0.7358139534883725,0.5250068653027599,0.1415801212797101
Sutter County,0.35975609756097554,0.179758385156489,0.04955391776570983,0.22790697674418592,0.4659824248249349,0.34244092841709073
Lake County,0.18292682926829268,0.0739244571312061,0.05372381691233513,0.2716279069767449,1.0,0.3223321948839478
San Benito County,0.18902439024390238,0.474105413395861,0.1910395655546935,0.2558139534883721,0.829448716188384,0.0
Calaveras County,0.12195121951219512,0.23626261596493026,0.07253685027152831,0.43255813953488387,0.44501760348959074,0.16939081341046913
Siskiyou County,0.274390243902439,0.05119023345906826,0.012024825446082216,0.4744186046511629,0.9216787190870674,0.16398898724472022
Amador County,0.13414634146341464,0.2624120705474564,0.07331264546159813,0.4604651162790705,0.8151946313332419,0.13887920819683564
Glenn County,0.2926829268292683,0.12721735141196866,0.031516679596586494,0.0511627906976746,0.7859570232047235,0.14940405659719802
Colusa County,0.7073170731707317,0.17329748190437355,0.028995345228859576,0.0567441860465121,0.7548915282163945,0.10135394159057642
Plumas County,0.3780487804878048,0.1498623712916709,0.052463149728471686,0.5497674418604652,0.6176280633235186,0.1820589670314352
Mariposa County,0.1951219512195122,0.15790345600978695,0.0539177657098526,0.47627906976744194,0.49394137031443086,0.16493866313515027
Trinity County,0.2012195121951219,0.008665511265164683,0.11520558572536849,0.3906976744186048,0.46226374734603637,0.20823168606677356
Del Norte County,0.22560975609756095,0.0,0.0,0.18883720930232561,0.9310474793280668,0.3264706907367394
Imperial County,1.0,0.04354419410745236,0.08771334367726918,0.022325581395349126,0.25163050940546483,0.2842580330382659
Inyo County,0.10365853658536583,0.17244367417677642,0.0,0.43720930232558164,0.5374330632980916,0.38126437582769934
Mendocino County,0.1097560975609756,0.1332577224997452,0.038062451512800605,0.43906976744186066,0.7517849787175616,0.1224907646197812
Mono County,0.10365853658536583,0.25897135283922934,0.0,0.5283720930232558,0.8449814636825486,0.1003171394716666
Tehama County,0.22560975609756095,0.023231216229992913,0.038062451512800605,0.23348837209302298,0.7176129342303997,0.34788631769707956
Tuolumne County,0.1646341463414634,0.2393210317055765,0.03840186190845615,0.44558139534883745,0.6272569682823013,0.2084407890151252
